WORD_norm	WORD	Transcription1	PerMilFreq	zipf	Length	AvePhonLength	n_syllables	H_GPC_word	H_PGC_word	H_GPC_grapheme_word	H_PGC_grapheme_word	H_GPC_onset_word	H_PGC_onset_word	H_GPC_rime_word	H_PGC_rime_word	H_GPC_OVC_word	H_PGC_OVC_word	OUF	OUB	OU	MAXOUF	MAXOUB	MINOUF	MINOUB	PUF	PUB	PU	MAXPUF	MAXPUB	MINPUF	MINPUB	OU_PU_Mismatch	OUF_PUF_Mismatch	OUB_PUB_Mismatch	SN_k25	SN_k50	Entropy_beta5	Entropy_beta10	Dispersion_k50	Hubness_k50	ClusteringCoeff_k25
رگبار	رگبار	raɡbɑr	7.609268	3.881343	5	6.0	2.0	0.0	0.0	0.214147	0.055448	0.001574	0.0	0.61258	0.221742	1.259568	8.075093	0.028578	0.083881	0.112459	0.141799	0.283668	9e-05	0.000315	0.035222	0.066918	0.10214	0.147505	0.275621	7.8e-05	6.9e-05	0.010318	-0.006644	0.016963	10.0	10.0	0.982423	0.911019	0.004078	16.0	0.33
حفظمون	حفظمون	hɛfzɛmun	0.422792	2.626127	6	8.0	3.0	0.0	0.0	0.317042	0.535542	0.000688	0.690435	1.071057	0.289008	1.306527	7.164186	0.020254	0.082565	0.102819	0.114497	0.347165	6e-06	6e-06	0.02991	0.063477	0.093387	0.201815	0.355901	5e-06	5e-06	0.009433	-0.009656	0.019089							
ملوانها	ملوانها	malavɑnhɑ	1.976606	3.29592	7	9.0	4.0	0.0	0.0	0.71819	0.213822	0.007083	0.181876	1.013108	0.487683	1.206576	8.075093	0.056599	0.041798	0.098397	0.377749	0.196007	2.7e-05	2.3e-05	0.060707	0.028665	0.089371	0.3953	0.172279	2.3e-05	2e-05	0.009026	-0.004107	0.013133							
معنیت	معنیت	maʔniyat	1.379582	3.139748	5	8.0	3.0	0.0	0.0	0.168925	0.453413	0.001032	0.010883	1.221986	0.871777	0.795803	7.783629	0.083171	0.071345	0.154516	0.377749	0.308994	1.7e-05	1.7e-05	0.071038	0.069304	0.140342	0.3953	0.315786	1.4e-05	1.4e-05	0.014174	0.012133	0.002041							
بترسونتت	بترسونتت	bɛtarsunatɛt	0.328342	2.516327	8	12.0	5.0	0.0	0.0	0.23764	0.394215	0.000806	0.298755	1.086632	0.403626	1.272114	7.482998	0.0457	0.039984	0.085684	0.350873	0.308994	4e-06	4e-06	0.048654	0.029171	0.077825	0.37001	0.315786	4e-06	4e-06	0.007859	-0.002954	0.010813							
پهلوش	پهلوش	pahluʃ	0.718274	2.85629	5	6.0	2.0	0.0	0.0	0.579401	0.197721	0.001754	0.00168	0.901628	0.735706	0.985586	7.275905	0.029832	0.037908	0.067741	0.144295	0.160357	9e-06	9e-06	0.030894	0.030634	0.061527	0.141666	0.16343	8e-06	8e-06	0.006213	-0.001061	0.007275							
بگیرمتون	بگیرمتون	bɛɡiramɛtun	0.406432	2.608988	8	11.0	5.0	0.0	0.0	0.343476	0.252108	0.001756	0.069471	0.805765	0.180948	1.167734	7.376446	0.053918	0.062546	0.116464	0.350873	0.347165	5e-06	5e-06	0.058685	0.047097	0.105782	0.37001	0.355901	5e-06	5e-06	0.010682	-0.004767	0.015449							
پیسینگ	پیسینگ	pisinɡ	0.589022	2.770131	6	6.0	2.0	0.0	0.0	0.280864	0.189118	0.0	0.404646	0.145571	0.195831	1.523434	7.428455	0.033705	0.013017	0.046723	0.144295	0.044843	8e-06	8e-06	0.029366	0.013072	0.042438	0.141666	0.044219	6e-06	6e-06	0.004285	0.004339	-5.4e-05							
ارتشیان	ارتشیان	ʔartɛʃiyɑn	0.880174	2.944568	7	10.0	4.0	0.0	0.0	0.424103	0.467762	0.007253	0.610494	0.822186	0.240524	1.493255	7.757406	0.049946	0.076365	0.126311	0.308518	0.347165	1.1e-05	1.1e-05	0.05917	0.055556	0.114726	0.362463	0.355901	9e-06	9e-06	0.011585	-0.009224	0.020809	25.0	50.0	0.99425	0.972171	0.001507	75.0	0.23
مهاجرای	مهاجرای	mɔhɑjɛrɑyɛ	0.292519	2.466154	7	10.0	5.0	0.0	0.0	0.564657	0.495516	0.144549	0.149764	1.554624	0.552745	0.945208	7.890349	0.057726	0.070602	0.128328	0.377749	0.394856	4e-06	4e-06	0.057945	0.058614	0.116559	0.3953	0.400045	3e-06	3e-06	0.01177	-0.000218	0.011988							
هدفونشو	هدفونشو	hɛdfɔnɛʃɔ	0.337819	2.528684	7	9.0	4.0	0.0	0.0	0.683352	0.494125	0.001226	0.17948	1.029264	0.461015	1.392939	7.811412	0.023066	0.019361	0.042427	0.14918	0.119438	4e-06	4e-06	0.026215	0.012321	0.038536	0.201815	0.088853	4e-06	4e-06	0.003891	-0.003149	0.00704							
دشوار	دشوار	dɔʃvɑr	42.587114	4.629278	5	6.0	2.0	0.0	0.0	0.593103	0.223034	0.010256	0.003016	0.85056	0.556757	1.023046	8.180405	0.057646	0.082647	0.140294	0.281878	0.283668	0.000559	0.000386	0.06138	0.066047	0.127428	0.278657	0.275621	0.000485	0.000335	0.012866	-0.003734	0.0166	25.0	50.0	0.98511	0.93104	0.003881	61.0	0.26
