word_norm	PerMillion	Zipf
ریاست	162.988	5.212
رهبر	162.845	5.212
بروز	162.77	5.212
ندارند	162.636	5.211
سرویس	162.359	5.21
سری	162.173	5.21
امنیتی	162.163	5.21
مشهد	162.001	5.21
سفید	161.483	5.208
مثلا	161.409	5.208
غرب	161.076	5.207
تجهیزات	160.618	5.206
آید	160.589	5.206
کد	160.442	5.205
آخر	160.308	5.205
لیست	160.211	5.205
تقویت	160.111	5.204
ظرفیت	160.082	5.204
اعتماد	159.957	5.204
درجه	159.875	5.204
دوربین	159.791	5.204
ریزی	159.535	5.203
پیشرفت	159.468	5.203
اصلا	159.463	5.203
غذا	159.359	5.202
بودجه	159.205	5.202
فرصت	158.943	5.201
موبایل	158.789	5.201
ویژگی	158.162	5.199
خواهیم	158.058	5.199
تجارت	158.031	5.199
مشترک	157.778	5.198
نخست	157.562	5.197
دید	157.24	5.197
مسکن	157.144	5.196
کردیم	156.984	5.196
صورتی	156.976	5.196
دهه	156.75	5.195
آنجا	156.399	5.194
بلند	155.967	5.193
حجم	155.892	5.193
تعریف	155.819	5.193
رعایت	155.758	5.192
ص	155.742	5.192
تنظیم	155.689	5.192
خاک	155.672	5.192
فاصله	155.344	5.191
هستم	155.289	5.191
رفتن	155.15	5.191
نماز	155.074	5.191
روزهای	154.583	5.189
زده	154.536	5.189
میدان	154.478	5.189
تبلیغات	154.173	5.188
نویسنده	154.155	5.188
خارجه	154.064	5.188
دنیای	153.819	5.187
پرسپولیس	153.676	5.187
نموده	153.63	5.186
تصریح	153.404	5.186
جاری	153.358	5.186
شناسایی	153.324	5.186
بهمن	153.218	5.185
مسابقات	153.147	5.185
مقایسه	153.122	5.185
سید	153.055	5.185
محفوظ	153.039	5.185
برداری	152.976	5.185
ترجمه	152.865	5.184
نظرات	152.675	5.184
میگوید	152.416	5.183
کالا	152.361	5.183
شدید	152.317	5.183
خطر	152.301	5.183
لحظه	152.002	5.182
دادند	151.976	5.182
مسیولان	151.974	5.182
جواب	151.708	5.181
بد	151.58	5.181
مراکز	151.521	5.18
حاصل	151.442	5.18
مفید	151.44	5.18
خبرنگار	151.335	5.18
گاز	151.163	5.179
واکنش	151.003	5.179
سود	150.958	5.179
سریع	150.841	5.179
متاسفانه	150.777	5.178
نمایندگان	150.766	5.178
اقدامات	150.755	5.178
اعمال	150.454	5.177
ان	150.412	5.177
درآمد	150.4	5.177
مثال	150.315	5.177
